"DateTime","Average","InnovationCenterPurple FLC - Outdoor A","InnovationCenterPurple FLC - Outdoor B"
"2023-12-09 17:20:00",,1,7
"2023-12-09 17:30:00",,6,11
"2023-12-09 17:40:00",,27,39
"2023-12-09 17:50:00",,52,56
"2023-12-09 18:00:00",,88,87
"2023-12-09 18:10:00",,54,59
"2023-12-09 18:20:00",,56,60
"2023-12-09 18:30:00",,65,68
"2023-12-09 18:40:00",,62,63
"2023-12-09 18:50:00",,52,57
"2023-12-09 19:00:00",,59,62
"2023-12-09 19:10:00",,62,62
"2023-12-09 19:20:00",,61,62
"2023-12-09 19:30:00",,62,63
"2023-12-09 19:40:00",,66,64
"2023-12-09 19:50:00",,72,70
"2023-12-09 20:00:00",,86,82
"2023-12-09 20:10:00",,88,82
"2023-12-09 20:20:00",,91,86
"2023-12-09 20:30:00",,85,81
"2023-12-09 20:40:00",,80,75
"2023-12-09 20:50:00",,76,71
"2023-12-09 21:00:00",,82,78
"2023-12-09 21:10:00",,74,70
"2023-12-09 21:20:00",,69,66
"2023-12-09 21:30:00",,68,62
"2023-12-09 21:40:00",,70,64
"2023-12-09 21:50:00",,80,76
"2023-12-09 22:00:00",,81,73
"2023-12-09 22:10:00",,84,76
"2023-12-09 22:20:00",,71,64
"2023-12-09 22:30:00",,69,64
"2023-12-09 22:40:00",,68,64
"2023-12-09 22:50:00",,74,69
"2023-12-09 23:00:00",,74,68
"2023-12-09 23:10:00",,71,64
"2023-12-09 23:20:00",,72,66
"2023-12-09 23:30:00",,72,65
"2023-12-09 23:40:00",,82,73
"2023-12-09 23:50:00",,81,72
"2023-12-10 00:00:00",,82,72
"2023-12-10 00:10:00",,75,69
"2023-12-10 00:20:00",,78,71
"2023-12-10 00:30:00",,78,69
"2023-12-10 00:40:00",,76,68
"2023-12-10 00:50:00",,90,80
"2023-12-10 01:00:00",,79,71
"2023-12-10 01:10:00",,77,68
"2023-12-10 01:20:00",,75,67
"2023-12-10 01:30:00",,74,68
"2023-12-10 01:40:00",,75,66
"2023-12-10 01:50:00",,71,65
"2023-12-10 02:00:00",,69,64
"2023-12-10 02:10:00",,69,64
"2023-12-10 02:20:00",,70,64
"2023-12-10 02:30:00",,71,65
"2023-12-10 02:40:00",,71,65
"2023-12-10 02:50:00",15.3,70,64
